city_geocode_I,lon,lat
New York,-74.0059413,40.7127837
Richardson,-96.7298519,32.9483335
New York,-74.0059413,40.7127837
Orlando,-81.3792365,28.5383355
Seattle,-122.3320708,47.6062095
Danville,-121.9999606,37.8215929
Boston,-71.0588801,42.3600825
San Francisco,-122.4194155,37.7749295
New York,-74.0059413,40.7127837
Cupertino,-122.0321823,37.3229978
New York,-74.0059413,40.7127837
Flushing,-73.833079,40.7674987
Redmond,-122.121512,47.6739881
Santa Monica,-118.4911912,34.0194543
New York,-74.0059413,40.7127837
Westchester,-73.7948516,41.1220194
Westchester,-73.7948516,41.1220194
McLean,-77.1772604,38.9338676
McLean,-77.1772604,38.9338676
Westchester,-73.7948516,41.1220194
McLean,-77.1772604,38.9338676
Westchester,-73.7948516,41.1220194
McLean,-77.1772604,38.9338676
Boston,-71.0588801,42.3600825
Sterling,-103.207709,40.6255415
Baltimore,-76.6121893,39.2903848
Atlanta,-84.3879824,33.7489954
Westlake,-97.1950138,32.991235
Raleigh,-78.6381787,35.7795897
San Francisco,-122.4194155,37.7749295
New York,-74.0059413,40.7127837
Denver,-104.990251,39.7392358
San Diego,-117.1610838,32.715738
San Francisco,-122.4194155,37.7749295
Billings,-108.5006904,45.7832856
San Diego,-117.1610838,32.715738
McLean,-77.1772604,38.9338676
McLean,-77.1772604,38.9338676
Westchester,-73.7948516,41.1220194
Westchester,-73.7948516,41.1220194
McLean,-77.1772604,38.9338676
Westchester,-73.7948516,41.1220194
Westchester,-73.7948516,41.1220194
McLean,-77.1772604,38.9338676
Pleasanton,-121.8746789,37.6624312
Los Angeles,-118.2436849,34.0522342
Philadelphia,-75.1652215,39.9525839
San Diego,-117.1610838,32.715738
Philadelphia,-75.1652215,39.9525839
San Diego,-117.1610838,32.715738
San Diego,-117.1610838,32.715738
Philadelphia,-75.1652215,39.9525839
Philadelphia,-75.1652215,39.9525839
San Diego,-117.1610838,32.715738
Hopkinton,-71.5225646,42.2286954
Seattle,-122.3320708,47.6062095
Washington,-120.7401385,47.7510741
White Marsh,-76.4599043,39.3794196
Los Angeles,-118.2436849,34.0522342
Salt Lake City,-111.8910474,40.7607793
San Carlos,-122.2605222,37.5071591
New York,-74.0059413,40.7127837
Clearwater,-82.8001026,27.9658533
Chicago,-87.6297982,41.8781136
Santa Clara,-121.9552356,37.3541079
Lowell,-122.4833234,37.7306091
Santa Clara,-121.9552356,37.3541079
Santa Clara,-121.9552356,37.3541079
Lowell,-122.4833234,37.7306091
Lowell,-122.4833234,37.7306091
Santa Clara,-121.9552356,37.3541079
Lowell,-122.4833234,37.7306091
Portland,-122.6764815,45.5230622
Seattle,-122.3320708,47.6062095
Fremont,-121.9885719,37.5482697
McLean,-77.1772604,38.9338676
Pittsburgh,-79.9958864,40.4406248
Peoria,-89.5889864,40.6936488
Richardson,-96.7298519,32.9483335
New York,-74.0059413,40.7127837
Palo Alto,-122.1430195,37.4418834
Gaithersburg,-77.2013705,39.1434406
McLean,-77.1772604,38.9338676
San Francisco,-122.4194155,37.7749295
Arlington,-97.1080656,32.735687
New York,-74.0059413,40.7127837
Falls Church,-77.1710914,38.882334
Boston,-71.0588801,42.3600825
Falls Church,-77.1710914,38.882334
Boston,-71.0588801,42.3600825
Columbia,-92.3340724,38.9517053
Columbia,-92.3340724,38.9517053
Columbia,-92.3340724,38.9517053
Houston,-95.3698028,29.7604267
Houston,-95.3698028,29.7604267
Columbia,-92.3340724,38.9517053
Houston,-95.3698028,29.7604267
Houston,-95.3698028,29.7604267
McLean,-77.1772604,38.9338676
San Bruno,-122.4110835,37.6304904
San Francisco,-122.4194155,37.7749295
Seattle,-122.3320708,47.6062095
Arlington,-97.1080656,32.735687
Boston,-71.0588801,42.3600825
San Francisco,-122.4194155,37.7749295
Washington,-120.7401385,47.7510741
Menlo Park,-122.1817252,37.4529598
Cleveland,-81.6943605,41.49932
Hartford,-72.6850932,41.7637111
Salt Lake City,-111.8910474,40.7607793
San Francisco,-122.4194155,37.7749295
San Francisco,-122.4194155,37.7749295
New York,-74.0059413,40.7127837
Huntington Beach,-117.9988026,33.6594835
Palo Alto,-122.1430195,37.4418834
El Segundo,-118.4164652,33.9191799
New York,-74.0059413,40.7127837
Denver,-104.990251,39.7392358
Portland,-122.6764815,45.5230622
Menlo Park,-122.1817252,37.4529598
Santa Clara,-121.9552356,37.3541079
New York,-74.0059413,40.7127837
Menlo Park,-122.1817252,37.4529598
New York,-74.0059413,40.7127837
Houston,-95.3698028,29.7604267
Houston,-95.3698028,29.7604267
Columbia,-92.3340724,38.9517053
Columbia,-92.3340724,38.9517053
Columbia,-92.3340724,38.9517053
Houston,-95.3698028,29.7604267
Houston,-95.3698028,29.7604267
Columbia,-92.3340724,38.9517053
Chesterbrook,-75.4590816,40.0756627
Des Moines,-93.6091064,41.6005448
United States,-95.712891,37.09024
Jersey City,-74.0776417,40.7281575
Redmond,-122.121512,47.6739881
San Jose,-121.8863286,37.3382082
Township of Warren,-74.5004796,40.6342489
Plano,-96.6988856,33.0198431
Lewisville,-96.994174,33.046233
Seattle,-122.3320708,47.6062095
Philadelphia,-75.1652215,39.9525839
San Diego,-117.1610838,32.715738
Philadelphia,-75.1652215,39.9525839
Philadelphia,-75.1652215,39.9525839
Philadelphia,-75.1652215,39.9525839
San Diego,-117.1610838,32.715738
San Diego,-117.1610838,32.715738
San Diego,-117.1610838,32.715738
West Chester,-75.6054882,39.9606643
Mountain View,-122.0838511,37.3860517
